date,week,home,home_score,away_score,away,stadium,region,avg_temp,min_temp,max_temp,rainfall,avg_windspeed,avg_relative_humid,nb_crowd
2017-03-31,FRI,DOOSAN,3,0,HANWHA,Jamsil,Seoul,8.6,4.9,12.4,1.5,2.4,70.6,21121
2017-03-31,FRI,SAMSUNG,2,7,KIA,Daegu,Daegu,9.3,7.3,11.0,0.5,3.3,71.0,13505
2017-03-31,FRI,SK,2,3,KT,Munhak,Incheon,9.2,7.1,12.2,0.8,3.0,75.5,13649
2017-03-31,FRI,NEXEN,1,2,LG,Gocheok,Seoul,8.6,4.9,12.4,1.5,2.4,70.6,8013
2017-03-31,FRI,NC,6,5,LOTTE,Masan,Busan,9.9,8.6,11.4,0.0,3.3,68.9,11000
2017-04-01,SAT,DOOSAN,5,6,HANWHA,Jamsil,Seoul,9.0,4.8,15.1,1.0,2.1,60.5,20636
2017-04-01,SAT,SAMSUNG,7,9,KIA,Daegu,Daegu,7.6,5.1,11.0,5.5,1.2,81.6,10062
2017-04-01,SAT,SK,0,2,KT,Munhak,Incheon,7.9,4.5,12.9,0.0,3.0,69.3,11291
2017-04-01,SAT,NEXEN,3,8,LG,Gocheok,Seoul,9.0,4.8,15.1,1.0,2.1,60.5,8889
2017-04-01,SAT,NC,0,3,LOTTE,Masan,Busan,8.8,6.7,12.3,3.0,2.3,75.8,9596
2017-04-02,SUN,DOOSAN,5,4,HANWHA,Jamsil,Seoul,9.0,3.1,15.8,0.0,2.1,53.1,22457
2017-04-02,SUN,SAMSUNG,16,3,KIA,Daegu,Daegu,9.2,2.1,15.8,0.0,1.8,55.6,14406
2017-04-02,SUN,SK,1,8,KT,Munhak,Incheon,8.6,4.9,13.0,0.0,2.6,61.1,10186
2017-04-02,SUN,NEXEN,2,9,LG,Gocheok,Seoul,9.0,3.1,15.8,0.0,2.1,53.1,9130
2017-04-02,SUN,NC,4,12,LOTTE,Masan,Busan,9.3,5.0,15.2,0.0,3.1,65.5,11000
2017-04-04,THU,HANWHA,6,0,NC,Daejeon,Daejeon,14.2,4.1,22.8,0.0,1.5,36.8,10597
2017-04-04,THU,KT,0,2,DOOSAN,Suwon,Suwon,12.9,3.3,22.5,0.0,1.6,45.0,15804
2017-04-04,THU,KIA,6,1,SK,Gwangju,Gwangju,14.8,6.4,23.9,0.0,1.1,40.6,18069
2017-04-04,THU,LG,11,0,SAMSUNG,Jamsil,Seoul,14.1,6.7,21.8,0.0,2.0,35.3,16411
2017-04-04,THU,LOTTE,5,2,NEXEN,Sajik,Busan,16.1,11.8,21.5,0.0,3.8,37.4,24954
2017-04-06,THU,HANWHA,2,5,NC,Daejeon,Daejeon,13.8,11.2,16.7,15.9,2.2,89.5,6150
2017-04-06,THU,KT,5,1,DOOSAN,Suwon,Suwon,10.6,8.9,13.3,1.2,2.3,93.6,4426
2017-04-06,THU,KIA,6,4,SK,Gwangju,Gwangju,14.3,11.1,16.2,3.1,2.4,98.4,4211
2017-04-06,THU,LG,4,0,SAMSUNG,Jamsil,Seoul,10.4,9.4,12.4,3.0,2.4,90.0,12166
2017-04-06,THU,LOTTE,12,3,NEXEN,Sajik,Busan,14.7,13.7,15.7,26.6,6.0,96.3,3864
2017-04-07,FRI,KIA,4,2,HANWHA,Gwangju,Gwangju,15.3,8.9,23.9,0.0,1.4,76.1,8296
2017-04-07,FRI,LOTTE,4,6,LG,Sajik,Busan,16.0,12.5,21.3,0.0,2.4,69.1,11191
2017-04-07,FRI,SK,3,5,NC,Munhak,Incheon,11.6,8.1,16.5,0.0,2.1,80.9,3492
2017-04-07,FRI,KT,3,2,SAMSUNG,Suwon,Suwon,13.3,8.0,22.2,0.0,1.5,76.8,5147
