date,game_id,weeks,region,stadium,home,home_win,away,away_win,weekend_is,avg_temp,min_temp,max_temp,rainfall,avg_windspeed,avg_relative_humid,nb_crowd
2017-03-31,1,Friday,Seoul,Jamsil,DOOSAN,0.0,HANHWA,0.0,0,8.6,4.9,12.4,1.5,2.4,70.6,21121
2017-03-31,2,Friday,Daegu,Daegu,SAMSUNG,0.0,KIA,0.0,0,9.3,7.3,11.0,0.5,3.3,71.0,13505
2017-03-31,3,Friday,Incheon,Munhak,SK,0.0,KT,0.0,0,9.2,7.1,12.2,0.8,3.0,75.5,13649
2017-03-31,4,Friday,Seoul,Gocheok,NEXEN,0.0,LG,0.0,0,8.6,4.9,12.4,1.5,2.4,70.6,8013
2017-03-31,5,Friday,Busan,Masan,NC,0.0,LOTTE,0.0,0,9.9,8.6,11.4,0.0,3.3,68.9,11000
2017-04-01,6,Saturday,Seoul,Jamsil,DOOSAN,1.0,HANHWA,0.0,1,9.0,4.8,15.1,1.0,2.1,60.5,20636
2017-04-01,7,Saturday,Daegu,Daegu,SAMSUNG,0.0,KIA,1.0,1,7.6,5.1,11.0,5.5,1.2,81.6,10062
2017-04-01,8,Saturday,Incheon,Munhak,SK,0.0,KT,1.0,1,7.9,4.5,12.9,0.0,3.0,69.3,11291
2017-04-01,9,Saturday,Seoul,Gocheok,NEXEN,0.0,LG,1.0,1,9.0,4.8,15.1,1.0,2.1,60.5,8889
2017-04-01,10,Saturday,Busan,Masan,NC,1.0,LOTTE,0.0,1,8.8,6.7,12.3,3.0,2.3,75.8,9596
2017-04-02,11,Sunday,Seoul,Jamsil,DOOSAN,0.5,HANHWA,0.5,1,9.0,3.1,15.8,0.0,2.1,53.1,22457
2017-04-02,12,Sunday,Daegu,Daegu,SAMSUNG,0.0,KIA,1.0,1,9.2,2.1,15.8,0.0,1.8,55.6,14406
2017-04-02,13,Sunday,Incheon,Munhak,SK,0.0,KT,1.0,1,8.6,4.9,13.0,0.0,2.6,61.1,10186
2017-04-02,14,Sunday,Seoul,Gocheok,NEXEN,0.0,LG,1.0,1,9.0,3.1,15.8,0.0,2.1,53.1,9130
2017-04-02,15,Sunday,Busan,Masan,NC,0.5,LOTTE,0.5,1,9.3,5.0,15.2,0.0,3.1,65.5,11000
2017-04-04,16,Tuesday,Daejeon,Daejeon,HANHWA,0.333,NC,0.333,0,14.2,4.1,22.8,0.0,1.5,36.8,10597
