지점,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%)
108,2017-01-01,2.7,-1.6,6.9,,1.5,75.9
108,2017-01-02,5,1.8,9.2,.3,2.1,77.8
108,2017-01-03,2,-2.3,7.7,,1.8,61.8
108,2017-01-04,3.9,1,8.9,,1.7,55
108,2017-01-05,3.8,-.1,7.3,,3.1,52.3
108,2017-01-06,5.4,2.5,11.4,,2.4,58.5
108,2017-01-07,4.6,0,10.5,,1.4,64.9
108,2017-01-08,6.5,4,10.9,0,2.6,61.4
108,2017-01-09,1.5,-3.1,4.3,0,3.3,60.8
108,2017-01-10,-3.7,-7.4,1.1,,3.2,45.1
108,2017-01-11,-3.8,-9.4,1.5,,2.1,36.4
108,2017-01-12,-2.2,-6.1,1,0,3.1,43.1
108,2017-01-13,-6,-8.6,-1.4,.6,2.9,47.4
108,2017-01-14,-8.4,-10.5,-5.4,,3.8,33.3
108,2017-01-15,-6.6,-11.5,-.9,,2.3,35.3
108,2017-01-16,-3.8,-8.9,4,,1.4,37.6
108,2017-01-17,-2,-7.1,3.4,,1.5,46.6
108,2017-01-18,-.5,-3,2.8,0,1.3,68.9
108,2017-01-19,-1.2,-4.9,4.7,,1.6,55.4
108,2017-01-20,-4.4,-7.8,-1.4,4,3,70.3
108,2017-01-21,-5.2,-10,-.9,2.1,1.6,78.1
108,2017-01-22,-8.3,-10.9,-3.3,0,3.8,51.3
108,2017-01-23,-8.9,-12.6,-4.1,,2.2,48.4
108,2017-01-24,-7,-11.6,-1.3,,2,49.6
108,2017-01-25,-5.2,-10.2,.9,,1.5,50.6
108,2017-01-26,-1.3,-7.9,3.4,.3,2.2,64.4
108,2017-01-27,-2.6,-5.7,3.1,3,3.4,47.3
108,2017-01-28,-1.6,-8.2,4.3,,1.7,38
108,2017-01-29,.8,-.9,2.5,4.5,1.8,71.1
108,2017-01-30,-4.8,-7.9,-.9,.1,3.3,61.4
108,2017-01-31,-5.4,-9.9,.2,,1.7,44.8
108,2017-02-01,-4,-7.5,.7,,2.5,44.5
108,2017-02-02,-2.7,-9.2,3.3,,2.7,52.9
108,2017-02-03,1.5,-2.3,6.7,,1.5,65.4
108,2017-02-04,.9,-2.9,3.2,,1.6,69.4
108,2017-02-05,1.2,-1.5,2.3,.5,2.1,75.3
108,2017-02-06,-1.7,-4.4,2.6,,3,51
108,2017-02-07,-2,-5.6,3,,1.5,45.4
108,2017-02-08,-2.2,-4.9,.6,,2,50.1
108,2017-02-09,-5.3,-7.1,-2.1,,3.8,47
108,2017-02-10,-6.6,-9.3,-2.5,,4.1,44.3
108,2017-02-11,-4.8,-9.2,.8,,2.8,45.4
108,2017-02-12,-2.2,-7.4,4.2,,2.1,51.3
108,2017-02-13,.1,-5.4,6.1,,1.6,59.6
108,2017-02-14,.3,-4,6.5,,2.5,46
108,2017-02-15,1.8,-3.9,8,,1.4,52.1
108,2017-02-16,5.5,-1.9,10.3,0,2,63.9
108,2017-02-17,.8,-5.2,9,4,3.9,56.9
108,2017-02-18,-2.6,-7,2.9,,2.8,49.4
108,2017-02-19,2.3,-3.4,5.7,1,1.9,68
108,2017-02-20,-1.5,-5.2,5.4,.5,4.2,53.8
108,2017-02-21,-.6,-7.6,6.9,,1.6,37.1
108,2017-02-22,1.7,-.9,2.9,5.1,2.7,70.8
108,2017-02-23,-1.5,-4.2,2.1,,3.8,56.4
108,2017-02-24,-.8,-5.8,4.4,,2.2,51.3
108,2017-02-25,2.6,-2.8,8.4,,2.3,63.6
108,2017-02-26,3.6,-1.5,10.1,,2.1,52.8
108,2017-02-27,3.7,-1.8,10.7,,1.8,37.4
108,2017-02-28,5.6,-1.3,12.3,,2,41.5
